Name,Fund,Location,Old Type,New Type,Reason
Chris Sullivan,Landon Capital Partners,"Massachusetts, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Landon Capital Partners'
Greg Dames,Marquette Capital Partners,"Minnesota, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Marquette Capital Partners'
Kelcie Khinthi,Intonation Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Intonation Ventures'
Jake Seligmann,NextTier Capital Partners LLC,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'NextTier Capital Partners LLC'
Jacek Niewinski,Hildred Capital Partners,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Hildred Capital Partners'
Daniel Wainstein,Keystone Capital Partners,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Keystone Capital Partners'
James J. Burke Jr.,J. Burke Capital Partners LLC,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'J. Burke Capital Partners LLC'
Corey Dolik,Dolik Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Dolik Ventures'
Bruce Benenson,Benenson Capital Partners LLC,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Benenson Capital Partners LLC'
Brooks Taylor,Holbrook Ventures,"South Carolina, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Holbrook Ventures'
Theresa Mcnamara,McNamara Family Ventures,"Tennessee, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'McNamara Family Ventures'
Kevin Mcnamara,McNamara Family Ventures,"Tennessee, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'McNamara Family Ventures'
Ralph Muse,Sumo Ventures,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Sumo Ventures'
Christian Fuentes,Investar Capital Partners,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Investar Capital Partners'
David Nunez,Investar Capital Partners,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Investar Capital Partners'
Darren Blanton,Colt Ventures,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Colt Ventures'
Barri Sumo,Sumo Ventures,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Sumo Ventures'
Andr Harrell,"Day Capital Partners, LLC","Virginia Beach, Virginia, United States",Family Office,Family Office/VC,"Fund name contains VC keywords: 'Day Capital Partners, LLC'"
Scott Rupp,BITKRAFT Ventures,,Angel,VC,Fund name contains VC keywords: 'BITKRAFT Ventures'
Raju Rishi,RRE Ventures,,Angel,VC,Known VC firm: rre ventures
Neil Hutchinson,NEON Adventures,"London, United Kingdom",Family Office,Family Office/VC,Fund name contains VC keywords: 'NEON Adventures'
David Hall,Revolution Ventures,,Angel,VC,Known VC firm: revolution ventures
Arielle Zuckerberg,Long Journey Ventures,,Angel,VC,Fund name contains VC keywords: 'Long Journey Ventures'
Andrea Hippeau,Lerer Hippeau,,Angel,VC,Known VC firm: lerer hippeau
Ben Horowitz,https://www.crunchbase.com/person/ben-horowitz,"San Francisco Bay Area, California, United States",Angel,Angel/VC,Known VC partner at a16z (also angel invests)
Peter Thiel,https://www.crunchbase.com/person/peter-thiel,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at founders fund (also angel invests)
Garry Tan,https://www.crunchbase.com/person/garry-tan,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at initialized capital (also angel invests)
Sam Lessin,https://www.crunchbase.com/person/sam-lessin,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at slow ventures (also angel invests)
Sam Altman,https://www.crunchbase.com/person/sam-altman,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at y combinator (also angel invests)
Dr. Fiona Pathiraja,Crista Galli Ventures,"London, England, United Kingdom",Family Office,Family Office/VC,Fund name contains VC keywords: 'Crista Galli Ventures'
Pedro Silva,Caoba Capital Partners,"Miami, Florida, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Caoba Capital Partners'
Landon Spitalnik,VHF Ventures,"Ohio, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'VHF Ventures'
Bryce Hendry,Pittco Capital Partners,"Tennessee, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Pittco Capital Partners'
Kristoffer Lundegren,Oak Island Ventures,,Family Office,Family Office/VC,Fund name contains VC keywords: 'Oak Island Ventures'
Dan Faulkner,NEON Adventures,,Family Office,Family Office/VC,Fund name contains VC keywords: 'NEON Adventures'
Francisco Tajada,Preon Capital Partners SA,,Family Office,Family Office/VC,Fund name contains VC keywords: 'Preon Capital Partners SA'
Erik Grundt Olsen,Hoegh Capital Partners ASA,,Family Office,Family Office/VC,Fund name contains VC keywords: 'Hoegh Capital Partners ASA'
Carlo Ravizza,"Hoegh Capital Partners, Ltd.  (HCP)",,Family Office,Family Office/VC,"Fund name contains VC keywords: 'Hoegh Capital Partners, Ltd.  (HCP)'"
Josh Kopelman,,"Philadelphia, Pennsylvania, United States",Angel,Angel/VC,Known VC partner at first round capital (also angel invests)
Serge Lepine,Cabot Capital Partners,,Family Office,Family Office/VC,Fund name contains VC keywords: 'Cabot Capital Partners'
Baltazar Pizano,Dunmore Capital Partners,"Illinois, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Dunmore Capital Partners'
Austin Vincent,Gullane Capital Partners,"Tennessee, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Gullane Capital Partners'
Trip Miller,Gullane Capital Partners,"Tennessee, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Gullane Capital Partners'
Assistant Ventures,,,Angel,VC,Name appears to be a VC firm: 'Assistant Ventures'
Marc Andreessen,https://www.crunchbase.com/person/marc-andreessen,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at a16z (also angel invests)
Trevor Kienzle,Correlation Ventures,,Angel,VC,Fund name contains VC keywords: 'Correlation Ventures'
George Cliftonbrown,"Hansa Capital Partners, LLP",,Family Office,Family Office/VC,"Fund name contains VC keywords: 'Hansa Capital Partners, LLP'"
Sarah Tavel,https://www.crunchbase.com/person/sarah-tavel,,Angel,Angel/VC,Known VC partner at benchmark (also angel invests)
Kevin Efrusy,https://www.crunchbase.com/person/kevin-efrusy,,Angel,Angel/VC,Known VC partner at accel (also angel invests)
Scott Rocklage,5AM Ventures,,Angel,VC,Known VC firm: m ventures
Ollen Douglass,Motley Fool Ventures,,Angel,VC,Fund name contains VC keywords: 'Motley Fool Ventures'
Josh Buckley,https://www.crunchbase.com/person/josh-buckley,,Angel,Angel/VC,Known VC partner at buckley ventures (also angel invests)
Rashmi Gopinath,M12 Ventures (VC arm of Microsoft),,Angel,CVC,Known corporate VC: m12
Andrew Tang,"Draper Associates V, L.P.",,Angel,VC,Known VC firm: draper associates
Rich Barton,https://www.crunchbase.com/person/rich-barton,,Angel,Angel/VC,Known VC partner at benchmark (also angel invests)
Chris Turnley,MediaTech Ventures,,Angel,VC,Fund name contains VC keywords: 'MediaTech Ventures'
Chamath Palihapitiya,https://www.crunchbase.com/person/chamath-palihapitiya,,Angel,Angel/VC,Known VC partner at social capital (also angel invests)
Jessica Livingston,https://www.crunchbase.com/person/jessica-livingston,,Angel,Angel/VC,Known VC partner at y combinator (also angel invests)
Lisa Calhoun,Valor Ventures,,Angel,VC,Fund name contains VC keywords: 'Valor Ventures'
Robert Royle,"Hansa Capital Partners, LLP",,Family Office,Family Office/VC,"Fund name contains VC keywords: 'Hansa Capital Partners, LLP'"
Clay Elliot,Very Good Ventures,,Angel,VC,Fund name contains VC keywords: 'Very Good Ventures'
Agatha Precourt,AMP Ventures,,Angel,VC,Fund name contains VC keywords: 'AMP Ventures'
Brad Feld,https://www.crunchbase.com/person/brad-feld,,Angel,Angel/VC,Known VC partner at foundry group (also angel invests)
Scott Belsky,https://www.crunchbase.com/person/scott-belsky,,Angel,Angel/VC,Known VC partner at a16z (also angel invests)
Chris Dixon,https://www.crunchbase.com/person/chris-dixon,,Angel,Angel/VC,Known VC partner at a16z (also angel invests)
Matt Garratt,Salesforce Ventures,,Angel,CVC,Known corporate VC: salesforce ventures
Paul Graham,https://www.crunchbase.com/person/paul-graham,,Angel,Angel/VC,Known VC partner at y combinator (also angel invests)
Gregg Bennett,SCATE Ventures,,Angel,VC,Fund name contains VC keywords: 'SCATE Ventures'
Brian Dixon,Kapor Capital,,Angel,VC,Known VC firm: kapor capital
Mark Mullen,Double M (Now Bonfire Ventures since 1/17),,Angel,VC,Known VC firm: bonfire ventures
Michael Cope,Cope Ventures,,Angel,VC,Fund name contains VC keywords: 'Cope Ventures'
John Doerr,https://www.crunchbase.com/person/john-doerr,,Angel,Angel/VC,Known VC partner at kleiner perkins (also angel invests)
Mamoon Hamid,https://www.crunchbase.com/person/mamoon-hamid,,Angel,Angel/VC,Known VC partner at kleiner perkins (also angel invests)
Fuel Capital,,,Angel,VC,Known VC firm: fuel capital
Mitch Lasky,https://www.crunchbase.com/person/mitch-lasky,,Angel,Angel/VC,Known VC partner at benchmark (also angel invests)
Chingona Ventures,,,Angel,VC,Name appears to be a VC firm: 'Chingona Ventures'
Hans Tung,https://www.crunchbase.com/person/hans-tung,,Angel,Angel/VC,Known VC partner at ggv capital (also angel invests)
Human Ventures,,,Angel,VC,Name appears to be a VC firm: 'Human Ventures'
Sunil Dhaliwal,https://www.crunchbase.com/person/sunil-dhaliwal,,Angel,Angel/VC,Known VC partner at amplify partners (also angel invests)
Madison McIlwain,Defy,,Angel,VC,Known VC firm: defy
Medha Agarwal,Redpoint Ventures,,Angel,VC,Known VC firm: redpoint ventures
Bill Gurley,https://www.crunchbase.com/person/bill-gurley,,Angel,Angel/VC,Known VC partner at benchmark (also angel invests)
Mary Meeker,https://www.crunchbase.com/person/mary-meeker,,Angel,Angel/VC,Known VC partner at bond capital (also angel invests)
Hakeem Belo-Osagie,Metis Capital Partners,,Angel,VC,Fund name contains VC keywords: 'Metis Capital Partners'
SoGal Ventures,,,Angel,VC,Name appears to be a VC firm: 'SoGal Ventures'
Kirsten Green,https://www.crunchbase.com/person/kirsten-green,,Angel,Angel/VC,Known VC partner at forerunner ventures (also angel invests)
Matthew Sutton,Sentire Ventures,,Angel,VC,Fund name contains VC keywords: 'Sentire Ventures'
Kathryn Weinmann,Norwest Venture Partners,,Angel,VC,Known VC firm: norwest venture partners
DiverseCity Ventures,,,Angel,VC,Name appears to be a VC firm: 'DiverseCity Ventures'
Nabeel Hyatt,,,Angel,Angel/VC,Known VC partner at spark capital (also angel invests)
Connie Chan,,,Angel,Angel/VC,Known VC partner at a16z (also angel invests)
Scott Stanford,,,Angel,Angel/VC,Known VC partner at sherpa capital (also angel invests)
Jenny Lee,,,Angel,Angel/VC,Known VC partner at ggv capital (also angel invests)
Sameer Gandhi,,,Angel,Angel/VC,Known VC partner at accel (also angel invests)
Bijan Sabet,,,Angel,Angel/VC,Known VC partner at spark capital (also angel invests)
Katie Haun,,,Angel,Angel/VC,Known VC partner at haun ventures (also angel invests)
Ilya Fushman,,,Angel,Angel/VC,Known VC partner at kleiner perkins (also angel invests)
Ravi Mhatre,,,Angel,Angel/VC,Known VC partner at lightspeed (also angel invests)
Samir Kaul,,,Angel,Angel/VC,Known VC partner at khosla ventures (also angel invests)
Nicole Quinn,,,Angel,Angel/VC,Known VC partner at lightspeed (also angel invests)
Jeff Jordan,,,Angel,Angel/VC,Known VC partner at a16z (also angel invests)
Mike Dauber,,,Angel,Angel/VC,Known VC partner at amplify partners (also angel invests)
Peter Fenton,,,Angel,Angel/VC,Known VC partner at benchmark (also angel invests)
Talia Goldberg,,,Angel,Angel/VC,Known VC partner at bessemer (also angel invests)
David Weiden,,,Angel,Angel/VC,Known VC partner at khosla ventures (also angel invests)
Matt Turck,,,Angel,Angel/VC,Known VC partner at firstmark capital (also angel invests)
Eric Vishria,,,Angel,Angel/VC,Known VC partner at benchmark (also angel invests)
Sven Strohband,,,Angel,Angel/VC,Known VC partner at khosla ventures (also angel invests)
Steve Jurvetson,,,Angel,Angel/VC,Known VC partner at future ventures (also angel invests)
Brian Singerman,,,Angel,Angel/VC,Known VC partner at founders fund (also angel invests)
Mike Vernal,,,Angel,Angel/VC,Known VC partner at lightspeed (also angel invests)
